City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Komsomolskiy,UZ,40.4272,71.7189,74.12,46,0,6.91,clear sky
283,Dunedin,NZ,-45.8742,170.5036,48.79,77,100,11.99,overcast clouds
284,Hamilton,US,39.1834,-84.5333,79.65,67,20,6.91,few clouds
285,Caravelas,BR,-17.7125,-39.2481,70.16,91,7,4.34,clear sky
286,Kerema,PG,-7.9631,145.7785,78.91,84,99,17.98,overcast clouds
287,Otorohanga,NZ,-38.1833,175.2,56.34,84,100,3.06,light rain
288,College,US,64.8569,-147.8028,66.2,57,75,10.36,smoke
289,Thunder Bay,CA,48.4001,-89.3168,67.98,45,20,8.05,few clouds
290,Nijar,ES,36.9665,-2.206,74.66,50,0,5.75,clear sky
291,Misratah,LY,32.3754,15.0925,77.95,63,0,4.34,clear sky
292,Andradina,BR,-20.8961,-51.3794,74.62,44,96,7.31,overcast clouds
293,Kenmare,IE,51.8833,-9.5833,56.07,94,43,2.86,scattered clouds
294,Spas-Demensk,RU,54.4122,34.0226,54.28,91,100,7.23,overcast clouds
295,Cabo San Lucas,MX,22.8909,-109.9124,89.62,69,1,12.24,clear sky
296,Nakambala,ZM,-15.8324,27.7799,54.25,70,10,5.08,clear sky
297,Tiznit,MA,29.5833,-9.5,76.66,43,0,1.74,clear sky
298,Mirnyy,RU,62.5353,113.9611,66.24,42,83,1.99,broken clouds
299,San Policarpo,PH,12.1791,125.5072,83.88,76,48,5.19,scattered clouds
300,Portland,US,45.5234,-122.6762,81.18,47,20,8.05,few clouds
301,Altay,CN,47.8667,88.1167,64.04,53,82,5.46,broken clouds
302,Necochea,AR,-38.5473,-58.7368,47.53,60,100,7.85,overcast clouds
303,Sioux Lookout,CA,50.1001,-91.917,71.67,53,20,2.3,few clouds
304,Isangel,VU,-19.55,169.2667,84.31,79,75,9.22,broken clouds
305,Lebu,CL,-37.6167,-73.65,42.94,83,22,6.29,few clouds
306,Balabac,PH,7.9868,117.0645,82.42,80,100,18.99,overcast clouds
307,Choma,ZM,-16.8065,26.9531,50.36,70,3,3.4,clear sky
308,Krasnogorsk,RU,55.8225,37.3181,61.14,94,89,6.71,overcast clouds
309,Ucluelet,CA,48.9329,-125.5528,62.1,82,56,4.0,broken clouds
310,Gat,IL,31.61,34.7642,74.08,100,4,3.27,clear sky
311,Bandar,ID,2.05,99.75,78.46,92,100,0.36,overcast clouds
312,Ostrovnoy,RU,68.0531,39.5131,63.16,87,14,7.4,few clouds
313,Lagoa,PT,39.05,-27.9833,68.31,94,99,12.57,overcast clouds
314,Fairbanks,US,64.8378,-147.7164,66.22,55,75,10.36,smoke
315,Lompoc,US,34.6391,-120.4579,76.01,76,0,13.8,clear sky
316,Bremerton,US,47.5673,-122.6326,78.35,56,0,5.75,clear sky
317,Acari,PE,-15.4311,-74.6158,60.96,73,22,2.59,few clouds
318,Port Pirie,AU,-33.1833,138.0167,56.64,53,0,1.39,clear sky
319,Saint-Pierre,RE,-21.3393,55.4781,65.88,81,75,8.05,broken clouds
320,Chara,RU,56.9064,118.2631,68.79,65,63,1.52,broken clouds
321,Thai Binh,VN,20.45,106.3333,86.63,71,100,6.91,overcast clouds
322,San Patricio,US,28.017,-97.5169,88.18,64,6,14.56,clear sky
323,Thinadhoo,MV,0.5333,72.9333,83.26,74,50,11.95,scattered clouds
